year,picture,rating,runtime,genre,subgenre,release,score,synopsis,,,,,,,,,,,,,,,,,,,,,,,,
1950, Cyrano de Bergerac,7.6,112,Drama,Romance,November,0,The charismatic swordsman-poet helps another woo the woman he loves in this straightforward version of the play.,,,,,,,,,,,,,,,,,,,,,,,,
1949, All the King's Men,7.6,110,Drama,NA,January,0,The rise and fall of a corrupt politician who makes his friends richer and retains power by dint of a populist appeal.,,,,,,,,,,,,,,,,,,,,,,,,
1948, Hamlet,7.9,155,Drama,NA,August,0,Prince Hamlet struggles over whether or not he should kill his uncle whom he suspects has murdered his father the former king.,,,,,,,,,,,,,,,,,,,,,,,,
1947, A Double Life,7.1,104,Crime,Drama,NA,0,Anthony John is an actor whose life is strongly influenced by the characters he plays. When hes playing comedy hes the most enjoyable person in the world but when hes playing drama ...                See full summaryí_Œ_í__,,,,,,,,,,,,,,,,,,,,,,,,
1943, Watch on the Rhine,7.4,114,Drama,NA,August,0,Sara and Kurt Muller and their three children are returning to her mothers home in Washington DC after 18 years in Europe. A Romanian Count living there discovers Kurts attache case full ...                See full summaryí_Œ_í__,,,,,,,,,,,,,,,,,,,,,,,,
1942, Yankee Doodle Dandy,7.8,126,Biography,Drama,June,0,A film of the life of the renowned musical composer playwright actor dancer and singer George M. Cohan.,,,,,,,,,,,,,,,,,,,,,,,,
1941, Sergeant York,7.8,134,Biography,Drama,September,0,A hillbilly sharpshooter drafted in WW1 despite his claim to be a pacifist who ends up becoming a war hero.,,,,,,,,,,,,,,,,,,,,,,,,
1940, The Philadelphia Story,8.1,112,Comedy,Romance,December,0,When a rich womans ex-husband and a tabloid-type reporter turn up just before her planned remarriage she begins to learn the truth about herself.,,,,,,,,,,,,,,,,,,,,,,,,
1939, Goodbye Mr. Chips,7.7,114,Drama,Romance,July,0,An aged teacher and former headmaster of a boarding school recalls his career and his personal life over the decades.,,,,,,,,,,,,,,,,,,,,,,,,
1938, Boys Town,7.3,96,Biography,Drama,September,0,"Against all odds Father Flanagan starts ""Boys Town"" after hearing a convicts story. Whitey Marsh comes there. He runs away but hungry returns. He runs away again but when friend Pee ...                See full summaryí_Œ_í__",,,,,,,,,,,,,,,,,,,,,,,,
1937, Captains Courageous,8,117,Adventure,Drama,June,0,Harvey Cheyne is a spoiled brat used to having his own way. When a prank goes wrong onboard an ocean liner Harvey ends up overboard and nearly drowns. Fortunately hes picked up by a ...                See full summaryí_Œ_í__,,,,,,,,,,,,,,,,,,,,,,,,
1936, The Story of Louis Pasteur,7.4,86,Biography,Drama,February,0,The biography of the pioneering French microbiologist who helped revolutionize agriculture and medicine.,,,,,,,,,,,,,,,,,,,,,,,,
1933, The Private Life of Henry VIII,7.3,97,Biography,Comedy,August,0,Tells how King Henry VIII came to marry five more times after his divorce from his first wife.,,,,,,,,,,,,,,,,,,,,,,,,
1931, The Champ,7.3,86,Drama,Family,November,0,"Dink Purcell loves his alcoholic father ex-heavyweight champion Andy ""Champ"" Purcell despite his frequent binges his frequent gambling and their squalid living conditions. And theres ...                See full summaryí_Œ_í__",,,,,,,,,,,,,,,,,,,,,,,,
1930, A Free Soul,6.7,93,Crime,Drama,June,0,An alcoholic lawyer who successfully defended a notorious gambler on a murder charge objects when his free-spirited daughter becomes romantically involved with him.,,,,,,,,,,,,,,,,,,,,,,,,
1929, Disraeli,6.5,90,Biography,Drama,November,0,Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.,,,,,,,,,,,,,,,,,,,,,,,,
1928, In Old Arizona,5.8,95,Romance,Western,January,0,A charming happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty.,,,,,,,,,,,,,,,,,,,,,,,,
1927,The Last Command,8,88,Drama,History,April,0,A former Imperial Russian general and cousin of the Czar ends up in Hollywood as an extra in a movie directed by a former revolutionary.,,,,,,,,,,,,,,,,,,,,,,,,
2018,The Favorite ,7.6,121,Drama,Historical Period Drama,November,90,"In the early 18th century, England is at war with the French. Nevertheless, duck racing and pineapple eating are thriving. A frail Queen Anne occupies the throne, and her close friend, Lady Sarah, governs the country in her stead, while tending to Anne's ill health and mercurial temper. When a new servant, Abigail, arrives, her charm endears her to Sarah. Sarah takes Abigail under her wing, and Abigail sees a chance to return to her aristocratic roots.",,,,,,,,,,,,,,,,,,,,,,,,
2017,"Three Billboards outside Ebbing, Missouri",8.2,116,Drama,Crime,November,88,"Mildred Hayes, a hard-nosed mother is seeking justice for her murdered daughter. With no arrests after seven months, Mildred puts up three roadside signs to goad Ebbing police chief into action. But the law - and especially Sam Rockwell's hot-headed deputy - don't take kindly to the provocation. And¾the townsfolk are on their side. But Mildred doesn't care about ruffling a few feathers. In fact, she's happy to pluck the whole bird.",,,,,,,,,,,,,,,,,,,,,,,,
2015,Room,8.1,118,Drama,Thriller,February,86,"Held captive for years in an enclosed space, a woman (Brie Larson) and her young son (Jacob Tremblay) finally gain their freedom, allowing the boy to experience the outside world for the first time.",,,,,,,,,,,,,,,,,,,,,,,,
2014, Still Alice,7.5,101,Drama,NA,February,72,A linguistics professor and her family find their bonds tested when she is diagnosed with Alzheimers Disease.,,,,,,,,,,,,,,,,,,,,,,,,
2013, Blue Jasmine,7.3,98,Drama,NA,August,78,A New York socialite deeply troubled and in denial arrives in San Francisco to impose upon her sister. She looks a million but isnt bringing money peace or love...,,,,,,,,,,,,,,,,,,,,,,,,
2012, Silver Linings Playbook,7.8,122,Comedy,Drama,November,81,After a stint in a mental institution former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany a mysterious girl with problems of her own.,,,,,,,,,,,,,,,,,,,,,,,,
2011, The Iron Lady,6.4,105,Biography,Drama,January,54,An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life from girlhood to British prime minister intervene.,,,,,,,,,,,,,,,,,,,,,,,,
2010, Black Swan,8,108,Drama,Thriller,December,79,"A committed dancer wins the lead role in a production of Tchaikovskys ""Swan Lake"" only to find herself struggling to maintain her sanity.",,,,,,,,,,,,,,,,,,,,,,,,
2009, The Blind Side,7.7,129,Biography,Drama,November,53,The story of Michael Oher a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.,,,,,,,,,,,,,,,,,,,,,,,,
2008, The Reader,7.6,124,Drama,Romance,January,58,Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial.,,,,,,,,,,,,,,,,,,,,,,,,
2007, La vie en rose,7.7,140,Biography,Drama,February,66,The life story of singer äó»_dith Piaf.,,,,,,,,,,,,,,,,,,,,,,,,
2006, The Queen,7.4,103,Biography,Drama,October,91,After the death of Princess Diana Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.,,,,,,,,,,,,,,,,,,,,,,,,
2005, Walk the Line,7.9,136,Biography,Drama,November,72,A chronicle of country music legend Johnny Cashs life from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis where he recorded alongside Elvis Presley Jerry Lee Lewis and Carl Perkins.,,,,,,,,,,,,,,,,,,,,,,,,
2003, Monster,7.3,109,Biography,Crime,January,74,Based on the life of Aileen Wuornos a Daytona Beach prostitute who became a serial killer.,,,,,,,,,,,,,,,,,,,,,,,,
2002, The Hours,7.6,114,Drama,NA,January,81,"The story of how the novel ""Mrs. Dalloway"" affects three generations of women all of whom in one way or another have had to deal with suicide in their lives.",,,,,,,,,,,,,,,,,,,,,,,,
2001, Monster's Ball,7.1,111,Drama,Romance,February,69,After a family tragedy a racist prison guard reexamines his attitudes while falling in love with the African American wife of the last prisoner he executed.,,,,,,,,,,,,,,,,,,,,,,,,
2000, Erin Brockovich,7.3,131,Biography,Drama,March,73,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a citys water supply.,,,,,,,,,,,,,,,,,,,,,,,,
1999, Boys Don't Cry,7.6,118,Biography,Drama,October,86,Female born Teena Brandon adopts his male identity of Brandon Teena and attempts to find himself and love in Nebraska.,,,,,,,,,,,,,,,,,,,,,,,,
1998, Shakespeare in Love,7.2,123,Comedy,Drama,December,87,A young Shakespeare out of ideas and short of cash meets his ideal woman and is inspired to write one of his most famous plays.,,,,,,,,,,,,,,,,,,,,,,,,
1997, As Good As It Gets,7.7,139,Comedy,Drama,December,67,A single mother/waitress a misanthropic author and a gay artist form an unlikely friendship after the artist is in an accident.,,,,,,,,,,,,,,,,,,,,,,,,
1996, Fargo,8.2,98,Crime,Drama,April,85,Jerry Lundegaards inept crime falls apart due to his and his henchmens bungling and the persistent police work of the quite pregnant Marge Gunderson.,,,,,,,,,,,,,,,,,,,,,,,,
1995, Dead Man Walking,7.6,122,Crime,Drama,February,80,A nun while comforting a convicted killer on death row empathizes with both the killer and his victims families.,,,,,,,,,,,,,,,,,,,,,,,,
1994, Blue Sky,6.4,101,Drama,Romance,September,0,Jessica Lange stars in a period drama about a family moving to a military base and she quickly becomes part of a cover-up involving nuclear bomb tests.,,,,,,,,,,,,,,,,,,,,,,,,
1993, The Piano,7.6,121,Drama,Music,November,89,A mute woman along with her young daughter and her prized piano are sent to 1850s New Zealand for an arranged marriage to a wealthy landowner and shes soon lusted after by a local worker on the plantation.,,,,,,,,,,,,,,,,,,,,,,,,
1992, Howards End,7.5,140,Drama,Romance,May,87,A businessman thwarts his wifes bequest of an estate to another woman.,,,,,,,,,,,,,,,,,,,,,,,,
1990, Misery,7.8,107,Thriller,NA,November,0,After a famous author is rescued from a car crash by a fan of his novels he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.,,,,,,,,,,,,,,,,,,,,,,,,
1989, Driving Miss Daisy,7.4,99,Comedy,Drama,January,81,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.,,,,,,,,,,,,,,,,,,,,,,,,
1988, The Accused,7.1,111,Crime,Drama,October,0,After a young woman suffers a brutal rape in a bar one night a prosecutor assists in bringing the perpetrators to justice including the ones who encouraged and cheered on the attack.,,,,,,,,,,,,,,,,,,,,,,,,
1987, Moonstruck,7.1,102,Comedy,Drama,January,83,Loretta Castorini a book keeper from Brooklyn New York finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.,,,,,,,,,,,,,,,,,,,,,,,,
1986,Children of a Lesser God,7.2,119,Drama,Romance,October,0,James is a new speech teacher at a school for the deaf. He falls for Sarah a pupil who decided to stay on at the school rather than venture into the big bad world. She shuns him at first ...                See full summaryí_Œ_í__,,,,,,,,,,,,,,,,,,,,,,,,
1985, The Trip to Bountiful,7.6,108,Drama,NA,January,0,In 1940s Texas an elderly woman is determined to visit her childhood home for one last time.,,,,,,,,,,,,,,,,,,,,,,,,
1984, Places in the Heart,7.3,111,Drama,NA,October,0,In 1930s Southern US a widow and her family try to run their cotton farm with the help of a disparate group of friends.,,,,,,,,,,,,,,,,,,,,,,,,
1982, Sophie's Choice,7.7,150,Drama,Romance,December,68,After spending time with his new neighbors an aspiring writer realizes they are harboring deep secrets that will forever change him.,,,,,,,,,,,,,,,,,,,,,,,,
1981, On Golden Pond,7.7,109,Drama,NA,February,0,Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond he and his wife nevertheless agree to care for Billy the son of Chelseas new boyfriend and a most unexpected relationship blooms.,,,,,,,,,,,,,,,,,,,,,,,,
1980, Coal Miner's Daughter,7.5,124,Biography,Drama,March,0,Biographical story of Loretta Lynn a legendary country singer that came from poverty to worldwide fame. She rose from humble beginnings in Kentucky to superstardom and changing the sound and style of country music forever.,,,,,,,,,,,,,,,,,,,,,,,,
1979, Norma Rae,7.4,114,Drama,NA,March,0,A young single mother and textile worker agrees to help unionize her mill despite the problems and dangers involved.,,,,,,,,,,,,,,,,,,,,,,,,
1978, Coming Home,7.3,127,Drama,Romance,February,0,A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.,,,,,,,,,,,,,,,,,,,,,,,,
1976, Network,8.1,121,Drama,NA,November,0,A television network cynically exploits a deranged former anchors ravings and revelations about the news media for its own profit.,,,,,,,,,,,,,,,,,,,,,,,,
1974, Alice Doesn't Live Here Anymore,7.4,112,Drama,Romance,May,0,A recently widowed woman is on the road with her precocious young son determined to make a new life for herself as a singer.,,,,,,,,,,,,,,,,,,,,,,,,
1973, A Touch of Class,6.5,106,Comedy,Romance,August,0,Romantic comedy about a pair of clandestine lovers in a London-Spain tryst.,,,,,,,,,,,,,,,,,,,,,,,,
1971, Klute,7.2,114,Crime,Mystery,June,0,A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.,,,,,,,,,,,,,,,,,,,,,,,,
1970, Women in Love,7.6,131,Drama,Romance,September,0,The battle of the sexes and relationships among the elite of Britians industrial Midlands in the 1920s. Gerald Crich and Rupert Berkin are best friends who fall in love with a pair of ...                See full summaryí_Œ_í__,,,,,,,,,,,,,,,,,,,,,,,,
1969, The Prime of Miss Jean Brodie,7.7,116,Drama,NA,June,0,A headstrong young teacher in a private school in 1930s Edinburgh ignores the curriculum and influences her impressionable 12 year old charges with her over-romanticized world view.,,,,,,,,,,,,,,,,,,,,,,,,
1968, The Lion in Winter,8.2,134,Biography,Drama,October,0,1183 AD: King Henry IIs three sons all want to inherit the throne but he wont commit to a choice. They and his wife variously plot to force him.,,,,,,,,,,,,,,,,,,,,,,,,
1967,Guess Who's Coming to Dinner,7.8,108,Comedy,Drama,December,0,A couples attitudes are challenged when their daughter introduces them to her African-American fiancäó»Œ©.,,,,,,,,,,,,,,,,,,,,,,,,
1966, Who's Afraid of Virginia Woolf?,8.1,131,Drama,NA,June,0,A bitter aging couple with the help of alcohol use a young couple to fuel anguish and emotional pain towards each other.,,,,,,,,,,,,,,,,,,,,,,,,
1965, Darling,7.2,128,Drama,Romance,September,0,A beautiful but amoral model sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.,,,,,,,,,,,,,,,,,,,,,,,,
1964, Mary Poppins,7.8,139,Comedy,Family,September,0,A magic nanny comes to work for a cold bankers unhappy family.,,,,,,,,,,,,,,,,,,,,,,,,
1963,Hud,7.9,112,Drama,NA,May,0,Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth out for kicks with no regard for the ...                See full summaryÔ_Ô_,,,,,,,,,,,,,,,,,,,,,,,,
1962, The Miracle Worker,8.1,106,Biography,Drama,July,0,The story of Anne Sullivans struggle to teach the blind and deaf Helen Keller how to communicate.,,,,,,,,,,,,,,,,,,,,,,,,
1961, Two Women,7.9,100,Drama,War,December,0,In the Italy of WWII a widow and her lonely daughter seek for distance between them and the horrors of war.,,,,,,,,,,,,,,,,,,,,,,,,
1960,Butterfield 8,6.4,109,Drama,NA,November,0,The romantic life of a fashionable Manhattan beauty whos part model part call-girl--and all man-trap.,,,,,,,,,,,,,,,,,,,,,,,,
1959, Room at the Top,7.7,117,Drama,Romance,January,0,An ambitious young accountant schemes to wed a wealthy factory owners daughter despite falling in love with a married older woman.,,,,,,,,,,,,,,,,,,,,,,,,
1958, I Want to Live!,7.5,120,Biography,Crime,November,0,A prostitute sentenced to death for murder pleads her innocence.,,,,,,,,,,,,,,,,,,,,,,,,
1957, The Three Faces of Eve,7.2,91,Drama,Mystery,September,0,A doctor treats a woman suffering from Multiple Personality Disorder.,,,,,,,,,,,,,,,,,,,,,,,,
1956, Anastasia,7.2,105,Biography,Drama,December,0,An opportunistic Russian businessman tries to pass a mysterious impostor as the Grand Duchess Anastasia. But she is so convincing in her performance that even the biggest skeptics believe her.,,,,,,,,,,,,,,,,,,,,,,,,
1955, The Rose Tattoo,7.2,117,Comedy,Drama,NA,0,An Italian-American neighborhood in Louisiana is disturbed when truck driver Rosario Delle Rose is killed by police while smuggling. His buxom widow Serafina miscarries then over a period ...                See full summaryí_Œ_í__,,,,,,,,,,,,,,,,,,,,,,,,
1954, The Country Girl,7.3,104,Drama,Music,May,0,A director hires an alcoholic has-been and strikes up a stormy relationship with the actors wife who he believes is the cause of all the mans problems.,,,,,,,,,,,,,,,,,,,,,,,,
1953, Roman Holiday,8.1,118,Comedy,Romance,September,76,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,,,,,,,,,,,,,,,,,,,,,,,,
1952, Come Back Little Sheba,7.8,99,Drama,Romance,December,0,An emotionally remote recovering alcoholic and his dowdy unambitious wife face a personal crisis when they take in an attractive lodger.,,,,,,,,,,,,,,,,,,,,,,,,
1951, A Streetcar Named Desire,8.1,122,Drama,NA,December,0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,,,,,,,,,,,,,,,,,,,,,,,,
1950, Born Yesterday,7.6,103,Comedy,Drama,May,0,A million dollar Tycoon hires a tutor to teach his lover proper etiquette.,,,,,,,,,,,,,,,,,,,,,,,,
1949, The Heiress,8.3,115,Drama,Romance,February,0,A young naive woman falls for a handsome young man who her emotionally abusive father suspects is a fortune hunter.,,,,,,,,,,,,,,,,,,,,,,,,
1948, Johnny Belinda,7.8,102,Drama,NA,September,0,In post-war Cape Breton a doctors efforts to tutor a deaf/mute woman are undermined when she is raped and the resulting pregnancy causes scandal to swirl.,,,,,,,,,,,,,,,,,,,,,,,,
1947, The Farmer's Daughter,7.4,97,Drama,Romance,March,0,Katie Holstrom leaves the farm to become a nurse but is sidetracked into domestic service romance and politics.,,,,,,,,,,,,,,,,,,,,,,,,
1946, To Each His Own,7.8,122,Drama,Romance,March,0,An unwed mother forced to give up her child to avoid scandal follows her sons life from afar even as she prospers in business.,,,,,,,,,,,,,,,,,,,,,,,,
1945, Mildred Pierce,8,111,Crime,Drama,NA,0,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,,,,,,,,,,,,,,,,,,,,,,,,
1944, Gaslight,7.9,114,Crime,Drama,May,0,Years after her aunt was murdered in her home a young woman moves back into the house with her new husband. However he has a secret that he will do anything to protect even if it means driving his wife insane.,,,,,,,,,,,,,,,,,,,,,,,,
1943, The Song of Bernadette,7.7,156,Biography,Drama,April,0,"In 1858 France Bernadette an adolescent peasant girl has a vision of ""a beautiful lady"" in the city dump. She never claims it to be anything other than this but the townspeople all ...                See full summaryí_Œ_í__",,,,,,,,,,,,,,,,,,,,,,,,
1941, Suspicion,7.5,99,Mystery,Thriller,November,0,A shy young heiress marries a charming gentleman and soon begins to suspect he is planning to murder her.,,,,,,,,,,,,,,,,,,,,,,,,
1940, Kitty Foyle: The Natural History of a Woman,7.1,108,Drama,Romance,December,0,Kitty Foyle a hard-working white-collar girl from a Philadelphia Pennsylvania low middle-class family meets and falls in love with young socialite Wyn Strafford but his family is against her.,,,,,,,,,,,,,,,,,,,,,,,,
1938, Jezebel,7.6,104,Drama,Romance,March,0,A haughty headstrong Southern Belle in Antebellum Louisiana loses her fiance due to her stubborn vanity and pride and vows to get him back.,,,,,,,,,,,,,,,,,,,,,,,,
1937, The Good Earth,7.8,138,Drama,Romance,August,0,The story of a farmer in China: a story of humility and bravery. His father gives Wang Lung a freed slave as wife. By diligence and frugality the two manage to enlarge their property. But ...                See full summaryí_Œ_í__,,,,,,,,,,,,,,,,,,,,,,,,
1936, The Great Ziegfeld,6.8,176,Biography,Drama,April,0,This biography follows the ups and downs of Florenz Ziegfeld famed producer of extravagant stage revues.,,,,,,,,,,,,,,,,,,,,,,,,
1935, Dangerous,7.2,79,Drama,NA,December,0,An alcoholic actress who is considered a dangerous jinx is rehabilitated but she then shows that shes as dangerous as ever.,,,,,,,,,,,,,,,,,,,,,,,,
1933, Morning Glory,6.6,74,Drama,Romance,August,0,When a naively innocent aspiring actress arrives on the Broadway scene she is taken under the wing of several theater veterans who mentor her to ultimate success.,,,,,,,,,,,,,,,,,,,,,,,,
1931, The Sin of Madelon Claudet,6.8,75,Drama,NA,October,0,Out of jail for a crime she did not commit Madelon turns to prostitution and thievery to send her illegitimate son to medical school.,,,,,,,,,,,,,,,,,,,,,,,,
1930, Min and Bill,7.4,69,Comedy,Drama,November,0,Min the owner of a dockside hotel is forced to make difficult decisions about the future of Nancy the young woman she took in as an infant.,,,,,,,,,,,,,,,,,,,,,,,,
1929, The Divorcee,6.9,84,Romance,Drama,April,0,When a woman discovers that her husband has been unfaithful to her she decides to respond to his infidelities in kind.,,,,,,,,,,,,,,,,,,,,,,,,
1928, Coquette,7.3,76,Drama,Romance,April,0,A flirtatious southern belle is compromised with one of her beaus.,,,,,,,,,,,,,,,,,,,,,,,,
1927,Seventh Heaven (7th Heaven),7.8,110,Drama,Romance,NA,0,A street cleaner saves a young womans life and the pair slowly fall in love until war intervenes.,,,,,,,,,,,,,,,,,,,,,,,,
2018,Roma,7.8,135,Drama,NA,November,96,"Cleo is one of two domestic workers who help Antonio and SofÍa take care of their four children in 1970s Mexico City. Complications soon arise when Antonio suddenly runs away with his mistress and Cleo finds out that she's pregnant. When SofÍa decides to take the kids on vacation, she invites Cleo for a much-needed getaway to clear her mind and bond with the family.",,,,,,,,,,,,,,,,,,,,,,,,
2017,The Shape of Water,7.3,123,Drama,Thriller,November,87,"Elisa is a mute, isolated woman who works as a cleaning lady in a hidden, high-security government laboratory in 1962 Baltimore. Her life changes forever when she discovers the lab's classified secret -- a mysterious, scaled creature from South America that lives in a water tank. As Elisa develops a¾unique bond with her new friend, she soon learns that its fate and very survival lies in the hands of a hostile government agent and a marine biologist.",,,,,,,,,,,,,,,,,,,,,,,,
2016,La La Land,8,128,Drama,Romance,December,93,"Sebastian (Ryan Gosling) and Mia (Emma Stone) are drawn together by their common desire to do what they love. But as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",,,,,,,,,,,,,,,,,,,,,,,,
2015,The Revenant,8,156,Drama,Thriller,January,76,"While exploring the uncharted wilderness in 1823, frontiersman Hugh Glass (Leonardo DiCaprio) sustains life-threatening injuries from a brutal bear attack. When a member (Tom Hardy) of his hunting team kills his young son (Forrest Goodluck) and leaves him for dead, Glass must utilize his survival skills to find a way back to civilization. Grief-stricken and fueled by vengeance, the legendary fur trapper treks through the snowy terrain to track down the man who betrayed him.",,,,,,,,,,,,,,,,,,,,,,,,
2014, Birdman,7.8,119,Comedy,Drama,November,88,Illustrated upon the progress of his latest Broadway play a former popular actors struggle to cope with his current life as a wasted actor is shown.,,,,,,,,,,,,,,,,,,,,,,,,
2013, Gravity,7.9,91,Sci-Fi,Thriller,October,96,A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.,,,,,,,,,,,,,,,,,,,,,,,,
2012, Life of Pi,8,127,Adventure,Drama,November,79,A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away he forms an unexpected connection with another survivor: a fearsome Bengal tiger.,,,,,,,,,,,,,,,,,,,,,,,,
2011, The Artist,8,100,Comedy,Drama,October,89,A silent movie star meets a young dancer but the arrival of talking pictures sends their careers in opposite directions.,,,,,,,,,,,,,,,,,,,,,,,,
2010, The King's Speech,8,118,Biography,Drama,December,88,The story of King George VI of the United Kingdom of Great Britain and Northern Ireland his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.,,,,,,,,,,,,,,,,,,,,,,,,
2009, The Hurt Locker,7.6,131,Drama,History,July,94,During the Iraq War a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.,,,,,,,,,,,,,,,,,,,,,,,,
2008, Slumdog Millionaire,8,120,Drama,Romance,January,86,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""",,,,,,,,,,,,,,,,,,,,,,,,
2007, No Country for Old Men,8.1,122,Crime,Drama,November,91,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,,,,,,,,,,,,,,,,,,,,,,,,
2006, The Departed,8.5,151,Crime,Drama,October,86,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,,,,,,,,,,,,,,,,,,,,,,,,
2005, Brokeback Mountain,7.7,134,Drama,Romance,January,87,The story of a forbidden and secretive relationship between two cowboys and their lives over the years.,,,,,,,,,,,,,,,,,,,,,,,,
2004, Million Dollar Baby,8.1,132,Drama,Sport,January,86,A determined woman works with a hardened boxing trainer to become a professional.,,,,,,,,,,,,,,,,,,,,,,,,
2003, The Lord of the Rings: The Return of the King,8.9,201,Adventure,Drama,December,94,Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,,,,,,,,,,,,,,,,,,,,,,,,
2002, The Pianist,8.5,150,Biography,Drama,January,85,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,,,,,,,,,,,,,,,,,,,,,,,,
2001, A Beautiful Mind,8.2,135,Biography,Drama,January,72,After a brilliant but asocial mathematician John Nash accepts secret work in cryptography his life takes a turn for the nightmarish.,,,,,,,,,,,,,,,,,,,,,,,,
2000, Traffic,7.6,147,Crime,Drama,January,86,A conservative judge is appointed by the President to spearhead Americas escalating war against drugs only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug barons wife attempts to carry on the family business.,,,,,,,,,,,,,,,,,,,,,,,,
1999, American Beauty,8.4,122,Drama,Romance,October,86,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.,,,,,,,,,,,,,,,,,,,,,,,,
1998, Saving Private Ryan,8.6,169,Action,Drama,July,90,Following the Normandy Landings a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.,,,,,,,,,,,,,,,,,,,,,,,,
1997, Titanic,7.7,194,Drama,Romance,December,74,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.,,,,,,,,,,,,,,,,,,,,,,,,
1996, The English Patient,7.4,162,Drama,Romance,November,87,At the close of WWII a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks revealing an involvement in a fateful love affair.,,,,,,,,,,,,,,,,,,,,,,,,
1995, Braveheart,8.4,178,Biography,Drama,May,68,When his secret bride is executed for assaulting an English soldier who tried to rape her William Wallace begins a revolt against King Edward I of England.,,,,,,,,,,,,,,,,,,,,,,,,
1994, Forrest Gump,8.8,142,Drama,Romance,July,82,Forrest Gump while not intelligent has accidentally been present at many historic moments but his true love Jenny Curran eludes him.,,,,,,,,,,,,,,,,,,,,,,,,
1993, Schindler's List,8.9,195,Biography,Drama,December,93,In Poland during World War II Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.,,,,,,,,,,,,,,,,,,,,,,,,
1992, Unforgiven,8.3,131,Western,NA,August,82,Retired Old West gunslinger William Munny reluctantly takes on one last job with the help of his old partner and a young man.,,,,,,,,,,,,,,,,,,,,,,,,
1991, The Silence of the Lambs,8.6,118,Crime,Drama,February,84,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.,,,,,,,,,,,,,,,,,,,,,,,,
1990, Dances with Wolves,8,181,Adventure,Drama,November,72,Lt. John Dunbar exiled to a remote western Civil War outpost befriends wolves and Indians making him an intolerable aberration in the military.,,,,,,,,,,,,,,,,,,,,,,,,
1989, Born on the Fourth of July,7.2,145,Biography,Drama,January,75,The biography of Ron Kovic. Paralyzed in the Vietnam war he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.,,,,,,,,,,,,,,,,,,,,,,,,
1988, Rain Man,8,133,Drama,NA,December,65,Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,,,,,,,,,,,,,,,,,,,,,,,,
