year,picture,rating,runtime,genre,subgenre,release,score,synopsis,,,,,,,,,,,,,,,,,,,,,,,,
1988,Rain Man,8,133,Drama,NA,December,65,Selfish yuppie Charlie Babbitts father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,,,,,,,,,,,,,,,,,,,,,,,,
1987,The Last Emperor,7.8,163,Biography,Drama,October,76,The story of the final Emperor of China.,,,,,,,,,,,,,,,,,,,,,,,,
1986,Platoon,8.1,120,Drama,War,February,0,A young recruit in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,,,,,,,,,,,,,,,,,,,,,,,,
1984,Amadeus,8.3,160,Biography,Drama,October,93,The incredible story of Wolfgang Amadeus Mozart told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.,,,,,,,,,,,,,,,,,,,,,,,,
1983,Terms of Endearment,7.4,132,Comedy,Drama,December,79,Follows hard-to-please Aurora looking for love and her daughters family problems.,,,,,,,,,,,,,,,,,,,,,,,,
1982,Gandhi,8.1,191,Biography,Drama,December,0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,,,,,,,,,,,,,,,,,,,,,,,,
1981,Chariots of Fire,7.3,125,Biography,Drama,May,0,Two British track athletes one a determined Jew and the other a devout Christian compete in the 1924 Olympics.,,,,,,,,,,,,,,,,,,,,,,,,
1980,Ordinary People,7.8,124,Drama,NA,February,85,The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother the good-natured father and the guilt-ridden younger son.,,,,,,,,,,,,,,,,,,,,,,,,
1979,Kramer vs. Kramer,7.8,105,Drama,NA,December,77,Ted Kramers wife leaves her husband allowing for a lost bond to be rediscovered between Ted and his son Billy. But a heated custody battle ensues over the divorced couples son deepening the wounds left by the separation.,,,,,,,,,,,,,,,,,,,,,,,,
1978,The Deer Hunter,8.2,183,Drama,War,February,73,An in-depth examination of the ways in which the U.S. Vietnam war impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,,,,,,,,,,,,,,,,,,,,,,,,
1977,Annie Hall,8.1,93,Comedy,Romance,April,0,Neurotic New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,,,,,,,,,,,,,,,,,,,,,,,,
1976,Rocky,8.1,120,Drama,Sport,December,0,Rocky Balboa a small-time boxer gets a supremely rare chance to fight the heavy-weight champion Apollo Creed in a bout in which he strives to go the distance for his self-respect.,,,,,,,,,,,,,,,,,,,,,,,,
1975,One Flew Over the Cuckoo's Nest,8.7,133,Drama,NA,November,79,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,,,,,,,,,,,,,,,,,,,,,,,,
1974,The Godfather: Part II,9,202,Crime,Drama,December,80,The early life and career of Vito Corleone in 1920s New York is portrayed while his son Michael expands and tightens his grip on his crime syndicate stretching from Lake Tahoe Nevada to pre-revolution 1958 Cuba.,,,,,,,,,,,,,,,,,,,,,,,,
1973,The Sting,8.3,129,Comedy,Crime,December,0,In Chicago in September 1936 a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.,,,,,,,,,,,,,,,,,,,,,,,,
